show_id,title,listed_in,description,movie_info
s75,1898: Our Last Men in the Philippines,"Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.","1898: last men philippines dramas, international movies spain relinquishes last colonies, battle-fatigued outpost engages long, brutal sometimes bizarre clash filipino insurgents."
s76,1BR,"Horror Movies, Independent Movies, Thrillers","Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.","1br horror movies, independent movies, thrillers seeking independence, young woman move los angeles settle cozy apartment complex disturbing sense community."
s77,1st Summoning,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.","1st summoning horror movies, independent movies student filmmaker uncover occult ritual tied abandoned warehouse, gradually realize horror closer think."
s78,2 Alone in Paris,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.","2 alone paris comedies, international movies bumbling paris policeman doggedly determined capture master thief repeatedly eludes him, even they're last two men earth."
s79,2 States,"Comedies, Dramas, International Movies","Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.","2 states comedies, dramas, international movies graduate student krish ananya hope win parents' approval marry, two family clash cultural differences."
s80,20 Feet From Stardom,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.","20 feet stardom documentaries, music musicals winner 2014 academy award best documentary feature, film take look world backup vocalist legend support."
s81,20 Minutes,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.","20 minutes crime tv shows, international tv shows, tv dramas wife convicted murder, horrified family man race prove innocence dogged investigator set uncover truth."
s82,2015 Dream Concert,"International Movies, Music & Musicals","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.","2015 dream concert international movies, music musicals world's biggest k-pop festival marked 21st year 2015, group exo, 4minute shinee electrifying seoul world cup stadium."
s83,2036 Origin Unknown,Sci-Fi & Fantasy,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.","2036 origin unknown sci-fi fantasy working artificial intelligence investigate failure deadly mars landing, mission controller make astonishing discovery."
s84,20th Century Women,"Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.","20th century women dramas, independent movies 1979, single bohemian mom dorothea, hoping help teen son find place man, asks two young woman share life him."
s85,21 & Over,Comedies,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.,21 comedies jeff's straight-and-narrow life change abruptly buddy take birthday bash – night crucial med school interview.
s86,21 Again,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.","21 british tv shows, reality tv social experiment, group daughter sends mothers, disguised 21-year-olds, world experience life member gen z."
s87,21 Sarfarosh: Saragarhi 1897,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.","21 sarfarosh: saragarhi 1897 international tv shows, tv dramas one history's greatest last stands, battalion 21 sikh soldier fight defend outpost attack 10,000 afghans."
s88,21 Thunder,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.","21 thunder crime tv shows, international tv shows, tv dramas players coach montreal soccer team chase dream stardom personal life erupt love, fear, passion violence."
s89,2307: Winter's Dream,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.","2307: winter's dream action adventure, independent movies, sci-fi fantasy frozen tundra futuristic arizona human forced underground, soldier hunt bioengineered leader rebellion."
s90,24 Hours to Live,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.","24 hours live action adventure revived experimental procedure, hit man get live extra 24 hour – us avenge dead wife child redeem himself."
s91,25 Kille,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.","25 kille action adventure, dramas, international movies four brother learn inherited ancestral land, must fight claim greedy feudal lord threatens take over."
s92,26 Years,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.","26 years dramas, international movies, thrillers twenty-six year 1980 massacre gwangju, south korea, three relative victim come together avenge infamous orchestrator."
s93,"27, el club de los malditos","Action & Adventure, Comedies, International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.","27, el club de los malditos action adventure, comedies, international movies musician dy suspicious circumstances, hard-drinking detective music fan investigate rock star often die age 27."
s94,27: Gone Too Soon,Documentaries,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.","27: gone soon documentaries explore circumstance surrounding tragic death 27 jimi hendrix, jim morrison, brian jones, janis joplin, kurt cobain amy winehouse."
s95,28 Days,"Comedies, Dramas","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.","28 days comedies, dramas drunken antic result property damage, alcoholic journalist enters rehab – soon meet fellow resident change outlook."
s96,28 Moons,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.","28 moons international tv shows, korean tv shows, romantic tv shows fiancé act strangely upon receiving mysterious invitation, florist set find truth behind tiny scrap paper."
s97,3 Days to Kill,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,3 days kill action adventure terminally ill secret agent accepts risky mission exchange experimental drug might save – survive side effects.
s98,3 Deewarein,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.","3 deewarein dramas, international movies, thrillers reporter interview three convict death row documentary story emerge, true motivation soliciting them."
s99,3 Generations,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.","3 generations dramas, lgbtq movies teenage ray begin transitioning female male, single mom grandmother must cope change tracking father."
s100,3 Heroines,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,"3 heroines dramas, international movies, sports movies three indonesian woman break record becoming first nation medal archery seoul olympics summer 1988."
s101,3 Idiots,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.","3 idiots comedies, dramas, international movies attending one india's premier colleges, three miserable engineering student best friend struggle beat school's draconian system."
s102,3 Seconds Divorce,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.","3 seconds divorce documentaries, faith spirituality muslim women's activist group india protest oral divorces, starting movement reclaim religious constitutional rights."
s103,3 Türken & ein Baby,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,"3 türken ein baby comedies, international movies life three dissatisfied brother running family bridal shop turn topsy-turvy one care ex-girlfriend's baby."
s104,30 Days of Luxury,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.","30 days luxury comedies, international movies help friends, man break prison hope restoring lively nightclub."
s105,30 Minutes or Less,"Action & Adventure, Comedies",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.,"30 minutes less action adventure, comedies two crook planning bank heist wind abducting pizza delivery driver force commit robbery — strict time limit."
s106,300 Miles to Heaven,"Dramas, International Movies","Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.","300 miles heaven dramas, international movies hoping help dissident parents, two brother sneak poland land refugee denmark, prevented returning home."
s107,365 Days,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.","365 days dramas, international movies, romantic movies fiery executive spiritless relationship fall victim dominant mafia boss, imprisons give one year fall love him."
s108,37 Seconds,"Dramas, International Movies","Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.","37 seconds dramas, international movies trapped society familial obligations, young manga artist go unconventional journey sexual freedom personal liberation."
